cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0CA11337,2014,59607.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.51,CA,9,0,R,20424.0,0.0,57729.0,0.0,0,78153.0,61957.76,0.7927751973692628
H0CA14042,2004,521515.09,7097.14,28663.15,226.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46186.96,CA,4,1,R,105015.0,0.0,221926.0,0.0,1,326941.0,603688.96,1.8464767649208877
H0CA14042,2006,621063.76,23061.56,346558.27,1221790.87,96402.99,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,13972.79,CA,4,1,R,63731.0,0.0,135818.0,0.0,1,199549.0,2324850.24,11.650523129657378
H0CA16096,2010,12131.99,0.0,238.0,18737.83,0.0,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA,16,0,L,319.0,0.0,12304.0,0.0,0,12623.0,33227.82,2.632323536401806
H0CA17185,2014,293.73,0.0,654.0,12734.53,0.0,1529.9,0.0,0.0,0.0,0.0,0.0,0.0,279.44,CA,20,0,NOP,23950.0,0.0,35010.0,0.0,0,58960.0,15491.6,0.2627476255088195
H0CA18050,2010,229118.88,1333.0,7469.71,39809.7,0.0,45334.66,7186.43,0.0,0.0,0.0,0.0,0.0,6041.78,CA,18,0,R,23978.0,0.0,51716.0,0.0,0,75694.0,336294.16,4.442811319259122
H0CA19124,2010,3182.57,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20458.08,CA,19,0,DEM/W,18457.0,0.0,596.0,0.0,0,19053.0,23720.65,1.2449824174670656
H0CA19173,2010,200014.58,35090.53,96194.68,653903.83,56950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90384.21,CA,19,0,R,26594.0,0.0,128394.0,0.0,1,154988.0,1132537.8299999998,7.3072614008826475
H0CA19173,2012,308246.11999999994,71262.9,364254.67999999993,1876410.58,58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169398.93999999994,CA,10,1,R,45779.0,0.0,110265.0,0.0,1,156044.0,2847573.22,18.248527466611982
H0CA19173,2014,218106.53,69075.68,334543.04000000004,1118773.98,64550.0,0.0,0.0,0.0,0.0,0.0,0.0,8450.0,39146.03,CA,10,1,R,44237.0,0.0,70582.0,0.0,1,114819.0,1852645.26,16.13535442740313
H0CA20098,2010,235380.34,1122.01,49517.84,505033.34,5058.85,66901.71,0.0,0.0,0.0,0.0,0.0,0.0,12862.5,CA,20,0,R,13770.0,0.0,43197.0,0.0,0,56967.0,875876.59,15.375157371811751
H0CA23118,2010,191260.34,24819.97,49089.18,150523.83,34493.16,116595.88,29103.64,0.0,0.0,0.0,0.0,0.0,0.0,CA,23,0,R,15108.0,0.0,72744.0,0.0,0,87852.0,595886.0,6.782839320675682
H0CA24116,2010,59412.42,0.0,4796.66,26844.7,0.0,39153.88,1093.73,0.0,5626.03,0.0,0.0,0.0,39847.59,CA,24,0,D,19832.0,0.0,96279.0,0.0,0,116111.0,176775.01,1.5224656578618736
H0CA26087,2010,8802.34,293.0,1750.0,17383.6,0.0,4485.28,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,26,0,AIP,705.0,0.0,12784.0,0.0,0,13489.0,43549.789999999986,3.2285410334346496
H0CA26087,2012,12170.36,1331.89,979.91,6134.47,0.0,7095.3,1546.75,0.0,0.0,0.0,0.0,0.0,0.0,CA,32,0,R,21843.0,0.0,65208.0,0.0,0,87051.0,29258.68,0.3361096368795304
H0CA27101,2010,144.82,666.69,8326.56,88211.51,4908.48,0.0,1190.0,0.0,0.0,0.0,0.0,250.0,214.39,CA,27,0,R,14172.0,0.0,55056.0,0.0,0,69228.0,103912.44999999998,1.5010176518171836
H0CA27101,2014,1689.54,0.0,0.0,2677.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,CA,30,0,R,14129.0,0.0,45315.0,0.0,0,59444.0,4765.969999999998,0.08017579570688377
H0CA28091,2010,11861.31,0.0,169.9,15308.38,0.0,820.0,0.0,0.0,0.0,0.0,0.0,1177.0,2850.0,CA,28,0,R,10732.0,0.0,28493.0,0.0,0,39225.0,32186.59,0.8205631612492034
H0CA29099,2010,282987.57,10663.74,57999.82,169827.61,40750.0,92954.92,7518.3,0.0,0.0,0.0,0.0,0.0,2066.53,CA,29,0,R,24172.0,0.0,51534.0,0.0,0,75706.0,664768.4900000001,8.780922119779147
H0CA29107,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,29,0,L,212.0,0.0,5218.0,0.0,0,5430.0,27431.38,5.051819521178637
H0CA30113,2010,1320.81,0.0,0.0,6376.86,0.0,1183.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA,30,0,L,301.0,0.0,5021.0,0.0,0,5322.0,8880.93,1.6687204058624578
H0CA31087,2004,103105.13,2382.52,205475.23,8284.71,5610.34,1935.24,252.16,0.0,0.0,0.0,0.0,0.0,23264.78,CA,32,1,D,28948.0,0.0,119144.0,0.0,1,148092.0,350310.11,2.3654897631202223
H0CA31087,2006,77761.86,410.55,243069.49,956.25,16427.5,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,24655.97,CA,32,1,D,30355.0,0.0,76059.0,0.0,1,106414.0,364781.62,3.4279476384686225
H0CA31087,2008,62660.43,2239.34,216595.09,1486.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46350.47,CA,32,1,D,17345.0,0.0,130142.0,0.0,1,147487.0,329331.52,2.232952870422478
