cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes,totalspend,costpervote
H0AL05163,2010,54616.04,2343.79,71452.12,547321.04,27000.0,66857.04,9362.66,249.0,0.0,0.0,0.0,0.0,1626.96,AL,5,0,REP,35746.0,0.0,131109.0,0.0,1,166855.0,780579.65,4.678191543555782
H0AL05163,2012,54178.0,8154.95,121673.9,165131.27,17000.0,16138.18,9083.92,0.0,0.0,0.0,0.0,0.0,2321.95,AL,5,1,R,65163.0,0.0,189185.0,0.0,1,254348.0,393682.17,1.547809182694576
H0AL05163,2014,15420.65,8540.32,91996.02,81481.66,15000.0,11833.66,2350.0,0.0,0.0,0.0,0.0,0.0,215.0,AL,5,1,R,49117.0,0.0,115338.0,0.0,1,164455.0,226837.31000000003,1.379327536408136
H0AL05171,2010,8174.82,0.0,0.0,40231.96,0.0,5993.05,0.0,0.0,0.0,0.0,0.0,0.0,18926.36,AL,5,0,DEM,5277.0,0.0,0.0,0.0,0,5277.0,73326.19,13.895431116164488
H0AL05189,2010,1082.2,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,370262.34,AL,5,0,DEM,10262.0,0.0,0.0,0.0,0,10262.0,371549.54000000004,36.20634769050868
H0AL07086,2010,717735.35,38988.03,52236.78,690997.05,55500.0,50828.5,31230.29,0.0,0.0,8313.27,0.0,5688.9,21920.13,AL,7,0,DEM,31531.0,32366.0,136696.0,0.0,1,200593.0,1673438.2999999998,8.342456117611281
H0AL07086,2012,329788.25,48925.15,65657.68,23994.0,0.0,40971.17,140490.99,0.0,0.0,0.0,1500.0,2015.0,7789.08,AL,7,1,D,0.0,0.0,232520.0,0.0,1,232520.0,661131.32,2.8433309822810937
H0AL07086,2014,425989.76,57266.94,116612.17,303683.52,30000.0,58571.83,166933.55,0.0,0.0,0.0,0.0,800.0,5304.93,AL,7,1,D,74953.0,0.0,133687.0,0.0,1,208640.0,1165162.7,5.5845604869631895
H0AL07144,2010,3480.0,0.0,4172.52,1573.37,0.0,0.0,224.25,0.0,0.0,0.0,0.0,0.0,800.0,AL,7,0,REP,2804.0,0.0,0.0,0.0,0,2804.0,10250.14,3.655542082738944
H0AL07177,2010,819.33,696.0,0.0,2597.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7445.99,AL,7,0,REP,6166.0,11783.0,51890.0,0.0,0,69839.0,11558.619999999999,0.16550380160082473
