cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes
H4LA00016,2008,,,,,,,,,,,,,85738.56,,,,,,,,,,
H4LA02103,2014,,,,,,,,,,,,,14149.0,LA,2,0,NPA,0.0,0.0,16327.0,0.0,0,16327.0
H4LA03028,2008,,,,,,,,,,,,,471603.99,LA,3,1,D,0.0,0.0,0.0,0.0,0,0.0
H4LA03028,2010,,,,,,,,,,,,,4678888.4,,,,,,,,,,
H4LA03028,2012,,,,,,,,,,,,,9132.75,,,,,,,,,,
H4LA05049,2006,,,,,,,,,,,,,553.16,,,,,,,,,,
H4LA05239,2014,,,,,,,,,,,,,704021.91,LA,5,0,R,0.0,0.0,9890.0,0.0,0,9890.0
H4LA05247,2014,,,,,,,,,,,,,700729.95,LA,5,0,R,0.0,0.0,53628.0,0.0,0,53628.0
H4LA06047,2014,,,,,,,,,,,,,7336.6,LA,6,0,LIB,0.0,0.0,3561.0,0.0,0,3561.0
H4LA06112,2014,,,,,,,,,,,,,414720.18,LA,6,0,R,0.0,0.0,26524.0,0.0,0,26524.0
H4LA06120,2014,,,,,,,,,,,,,452922.64,LA,6,0,R,0.0,0.0,1447.0,0.0,0,1447.0
H4LA06146,2014,,,,,,,,,,,,,334187.44,LA,6,0,R,0.0,0.0,5815.0,0.0,0,5815.0
H4LA06153,2014,,,,,,,,,,,,,1514376.06,LA,6,0,R,0.0,0.0,70715.0,139209.0,W (Runoff),209924.0
H4LA06179,2014,,,,,,,,,,,,,241742.91,LA,6,0,R,0.0,0.0,19151.0,0.0,0,19151.0
H4LA07052,2004,,,,,,,,,,,,,211300.62,LA,7,0,D,0.0,0.0,67389.0,0.0,0,67389.0
H4MA03022,2004,,,,,,,,,,,,,1031432.0,MA,3,1,D,39014.0,0.0,192036.0,0.0,1,231050.0
H4MA03022,2006,,,,,,,,,,,,,471182.9,MA,3,1,DEM,64756.0,0.0,166973.0,0.0,1,231729.0
H4MA03022,2008,,,,,,,,,,,,,515036.99,MA,3,1,D,37041.0,0.0,227619.0,0.0,1,264660.0
H4MA03022,2010,,,,,,,,,,,,,1820043.35,MA,3,1,DEM,32108.0,0.0,122708.0,0.0,1,154816.0
H4MA03022,2012,,,,,,,,,,,,,501308.79,MA,2,1,D,24375.0,0.0,259257.0,0.0,1,283632.0
H4MA03022,2014,,,,,,,,,,,,,555129.4,MA,2,1,D,39852.0,0.0,169640.0,0.0,1,209492.0
H4MA03071,2006,,,,,,,,,,,,,14.8,,,,,,,,,,
H4MA03097,2014,,,,,,,,,,,,,27328.75,MA,3,0,R,12731.0,0.0,81638.0,0.0,0,94369.0
H4MA05084,2014,,,,,,,,,,,,,1925823.26,MA,5,1,D,57014.0,0.0,182100.0,0.0,1,239114.0
H4MA06033,2004,,,,,,,,,,,,,297641.68,MA,6,1,D,27660.0,0.0,213458.0,0.0,1,241118.0
H4MA06033,2006,,,,,,,,,,,,,248942.49,MA,6,1,DEM,71530.0,0.0,168056.0,0.0,1,239586.0
H4MA06033,2008,,,,,,,,,,,,,292266.74,MA,6,1,D,36646.0,0.0,226216.0,0.0,1,262862.0
