cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,total
H4TX10093,2004,674284.81,,,,,,,,,,,,,
H8VA07045,2008,6100.00,,,,,,,,,,,,,
H2MI03148,2012,500.00,,,,,,,,,,,,,
H8OH11067,2006,271530.70,,,,,,,,,,,,,
H2NV04045,2012,3209.35,,,,,,,,,,,,,
H6MA07101,2008,505987.10,,,,,,,,,,,,,
H8NJ03172,2010,11483.36,,,,,,,,,,,,,
S2FL00201,2012,487411.72,,,,,,,,,,,,,
H8CA34068,2010,47404.02,,,,,,,,,,,,,
S2FL00201,2014,7564.08,,,,,,,,,,,,,
H0OH12062,2014,639588.62,,,,,,,,,,,,,
H4AZ02135,2014,15053.42,,,,,,,,,,,,,
H0PA06084,2012,226124.31,,,,,,,,,,,,,
H8VA11021,2010,2349162.82,,,,,,,,,,,,,
H6NV01158,2012,1765.61,,,,,,,,,,,,,
H8PA12044,2012,18418.79,,,,,,,,,,,,,
H2MA00014,2012,5230.00,,,,,,,,,,,,,
H0TX12147,2014,26864.91,,,,,,,,,,,,,
H8WA03164,2008,1652.00,,,,,,,,,,,,,
H0MS04120,2012,5050.01,,,,,,,,,,,,,
H4KY06163,2014,670.68,,,,,,,,,,,,,
H2TX31044,2004,1190.88,,,,,,,,,,,,,
H2GA12097,2006,4150.69,,,,,,,,,,,,,
H2MI11158,2014,8835.00,,,,,,,,,,,,,
H0KY03226,2010,177.95,,,,,,,,,,,,,
H4TX04062,2008,68041.90,,,,,,,,,,,,,
H2AR02053,2012,106190.89,,,,,,,,,,,,,
H0CA08069,2010,489230.81,,,,,,,,,,,,,
H6NJ12136,2010,2700.00,,,,,,,,,,,,,
S0IL00303,2010,265897.44,,,,,,,,,,,,,
H8ME01146,2008,247444.39,,,,,,,,,,,,,
H4CA01074,2014,1740.00,,,,,,,,,,,,,
H2NC08193,2014,351.58,,,,,,,,,,,,,
S2ME00067,2012,42333.49,,,,,,,,,,,,,
S2ME00158,2014,344461.46,,,,,,,,,,,,,
H2TN03144,2014,983.14,,,,,,,,,,,,,
H8IN07226,2008,200.00,,,,,,,,,,,,,
H2NC12021,2014,5154.50,,,,,,,,,,,,,
H4CA23011,2014,139066.09,,,,,,,,,,,,,
H2TX26093,2004,382110.26,,,,,,,,,,,,,
H4UT01041,2006,695.22,,,,,,,,,,,,,
H8IL01098,2010,13827.18,,,,,,,,,,,,,
H4WA05127,2014,74127.05,,,,,,,,,,,,,
H2FL17056,2008,322302.32,,,,,,,,,,,,,
H0WV03128,2010,41575.36,,,,,,,,,,,,,
H4NY27068,2006,15.00,,,,,,,,,,,,,
H0AZ03339,2010,33865.13,,,,,,,,,,,,,
S4AK00099,2008,250.00,,,,,,,,,,,,,
H8TX22107,2010,2700.00,,,,,,,,,,,,,
H4AZ01061,2010,60.00,,,,,,,,,,,,,
H0WA09044,2012,142418.05,,,,,,,,,,,,,
H4CA46061,2010,34707.48,,,,,,,,,,,,,
H4WA01241,2014,286255.02,,,,,,,,,,,,,
H6CA50100,2006,227471.09,,,,,,,,,,,,,
S2NJ00080,2012,185268.10,,,,,,,,,,,,,
H2OH03067,2012,4950.74,,,,,,,,,,,,,
H6OH06111,2006,5245.91,,,,,,,,,,,,,
H2TN03128,2012,61770.57,,,,,,,,,,,,,
H8CO06138,2010,2700.00,,,,,,,,,,,,,
S0KY00156,2010,4000.00,,,,,,,,,,,,,
H2CA39078,2012,237297.36,,,,,,,,,,,,,
H2AZ06171,2012,2625.00,,,,,,,,,,,,,
H6CA24048,2010,42037.09,,,,,,,,,,,,,
S6KS00080,2014,7051599.29,,,,,,,,,,,,,
H4CA49032,2010,5200.00,,,,,,,,,,,,,
H6TX23141,2008,502.46,,,,,,,,,,,,,
H0PA07082,2012,1250.00,,,,,,,,,,,,,
H4PA06045,2008,41380.10,,,,,,,,,,,,,
H4PA08074,2006,901484.87,,,,,,,,,,,,,
H2GA11172,2012,21.00,,,,,,,,,,,,,
H0VA07075,2012,1360.83,,,,,,,,,,,,,
